TimeMS,Acc
0.0,0.008612415359422792
0.001,0.008616218892032047
0.002,0.008620023867398597
0.003,0.008623195749968877
0.004,0.00862700337179933
0.005,0.008630177460473665
0.006,0.0086339877306085
0.007,0.008637164026921046
0.008,0.008640976947201997
0.009,0.008644155452687999
0.01,0.008647971024958082
0.011,0.008651151741153851
0.012,0.008654969967257365
0.013,0.008658152895700271
0.014,0.008661973777482799
0.015,0.00866515891971129
0.016,0.008668982459019689
0.017,0.00867216981657329
0.018,0.008675996015255712
0.019,0.008679823665292064
0.02,0.008683014449566252
0.021,0.008686844761835387
0.022,0.008690037765358281
0.023,0.008693870741711619
0.024,0.008697065966026518
0.025,0.008700901608316781
0.026,0.008704099054968084
0.027,0.008707937365049248
0.028,0.008711137035582428
0.029,0.008714978015309781
0.03,0.008718179911271358
0.031,0.008722023562501461
0.032,0.008725227685439069
0.033,0.008729074010029796
0.034,0.008732280361492104
0.035,0.008736129361302615
0.036,0.00873933794283939
0.037,0.008743189619730132
0.038,0.008747042757638025
0.039,0.008750254788710107
0.04,0.008754110606576023
0.041,0.008757324871672285
0.042,0.008761183371359966
0.043,0.008764399872033998
0.044,0.008768261055408486
0.045,0.008771479793214952
0.046,0.00877534366214258
0.047,0.008778564638637227
0.048,0.008782431194985629
0.049,0.008785654411725288
0.05,0.008789523657363395
0.051,0.008792749115905957
0.052,0.008796621052704023
0.053,0.008799848754608501
0.054,0.008803723384438031
0.055,0.008806953331264505
0.056,0.008810830655998324
0.057,0.008814709451476853
0.058,0.008817942870805211
0.059,0.00882182436408499
0.06,0.008825060032311352
0.061,0.008828944225268505
0.062,0.008832182143956814
0.063,0.00883606903846882
0.064,0.008839309209184075
0.065,0.008843198807129684
0.066,0.008846441231437989
0.067,0.008850333534697273
0.068,0.008853578214165813
0.069,0.008857473224620143
0.07,0.008860720160817202
0.071,0.008864617880349257
0.072,0.008867867074844205
0.073,0.008871767505337979
0.074,0.008875018959701275
0.075,0.008878922103042065
0.076,0.008882826726919838
0.077,0.00888608167690446
0.078,0.008889989016545481
0.079,0.008893246230400923
0.08,0.008897156287693823
0.081,0.008900415766994406
0.082,0.008904328543829153
0.083,0.008907590290150333
0.084,0.008911505788418173
0.085,0.00891476980333647
0.086,0.008918688024929964
0.087,0.008921954310023015
0.088,0.008925875256836082
0.089,0.008929143813682596
0.09,0.008933067487610438
0.091,0.008936338317790225
0.092,0.008940264720729379
0.093,0.008943537825823359
0.094,0.008947466959671673
0.095,0.008951397583914444
0.096,0.008954674207903074
0.097,0.008958607565990647
0.098,0.008961886468922577
0.099,0.00896582256275615
0.1,0.008969103746216199
0.101,0.008973042577698315
0.102,0.0089763260432724
0.103,0.008980267614306902
0.104,0.008983553363582041
0.105,0.008987497676074112
0.106,0.008990785710638409
0.107,0.008994732766494564
0.108,0.008998023087937266
0.109,0.00900197288906532
0.11,0.009005265498976756
0.111,0.009009218047285852
0.112,0.009012512947257465
0.113,0.009016468244658075
0.114,0.009020425042376257
0.115,0.009023723484670742
0.116,0.009027683034435631
0.117,0.00903098377084622
0.118,0.009034946074571663
0.119,0.00903824910669374
0.12,0.009042214166294945
0.121,0.009045519495724965
0.122,0.009049487313118464
0.123,0.009052794941454001
0.124,0.009056765518557651
0.125,0.009060075447397405
0.126,0.009064048786130395
0.127,0.00906736101707417
0.128,0.009071337119357025
0.129,0.009074651654005738
0.13,0.009078630521760328
0.131,0.00908261089877201
0.132,0.009085928996849702
0.133,0.009089912142305898
0.134,0.00909323254816862
0.135,0.009097218463994592
0.136,0.009100541179247202
0.137,0.00910452986736955
0.138,0.009107854893618022
0.139,0.009111846355964714
0.14,0.009115173694816155
0.141,0.009119167933316446
0.142,0.009122497586379076
0.143,0.009126494602963574
0.144,0.009129826571846748
0.145,0.009133826368447439
0.146,0.00913716065476159
0.147,0.009141163233311784
0.148,0.00914449983866848
0.149,0.009148505201102834
0.15,0.009152512082842927
0.151,0.009155852275353253
0.152,0.009159861943970069
0.153,0.009163204459630191
0.154,0.009167216917061816
0.155,0.009170561757487277
0.156,0.009174577005673135
0.157,0.00917792417248061
0.158,0.009181942213361476
0.159,0.009185291708168761
0.16,0.009189312543686753
0.161,0.009192664368112766
0.162,0.009196688000211367
0.163,0.009200042155876137
0.164,0.009204068586500185
0.165,0.009207425075024903
0.166,0.00921145430612056
0.167,0.009214813129127522
0.168,0.009218845162642299
0.169,0.009222878725578372
0.17,0.009226241159621517
0.171,0.009230277527989215
0.172,0.009233642300649188
0.173,0.009237681476399496
0.174,0.009241048589302598
0.175,0.009245090574387833
0.176,0.009248460029161513
0.177,0.009252504825535385
0.178,0.009255876623808192
0.179,0.009259924233425748
0.18,0.009263298376827373
0.181,0.009267348801645032
0.182,0.009270725291806305
0.183,0.009274778533781829
0.184,0.009278157372334714
0.185,0.009282213433427241
0.186,0.009285594622004827
0.187,0.009289653504174851
0.188,0.009293713925949007
0.189,0.009297098749604294
0.19,0.009301161995488489
0.191,0.009304549173330583
0.192,0.009308615245288782
0.193,0.009312004778954807
0.194,0.009316073678952342
0.195,0.009319465570080548
0.196,0.009323537300084122
0.197,0.00932693155031393
0.198,0.0093310061122916
0.199,0.00933440272326355
0.2,0.009338480119184728
0.201,0.009341879092540518
0.202,0.009345959324376025
0.203,0.009349360661758462
0.204,0.009353443731480471
0.205,0.009356847434533523
0.206,0.00936093334411558
0.207,0.009365020803552412
0.208,0.009368428165884695
0.209,0.009372518468234297
0.21,0.009375928200426997
0.211,0.009380021347666405
0.212,0.009383433451367548
0.213,0.009387529445475181
